# Copyright (C) 1991-2016 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.0.1 Build 218 06/01/2016 SJ Standard Edition
# File: H:\Masterarbeit\work\quartus\soc_system.csv
# Generated on: Mon Jul 04 15:31:35 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation,Weak Pull-Up Resistor
FPGA_UART_XBEE_RXD,Input,PIN_AE19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_UART_XBEE_TXD,Output,PIN_AH23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_CONV_USB_N,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[13],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[12],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[11],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[10],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[9],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[8],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[7],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[6],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[5],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[4],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[3],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[2],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[1],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[0],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_BA[2],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_BA[1],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_BA[0],Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_CAS_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_CK_N,Output,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,,
HPS_DDR3_CK_P,Output,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,,
HPS_DDR3_CKE,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_CS_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_DM[3],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DM[2],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DM[1],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DM[0],Output,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Bidir,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQS_N[3],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,,
HPS_DDR3_DQS_N[2],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,,
HPS_DDR3_DQS_N[1],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,,
HPS_DDR3_DQS_N[0],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,,
HPS_DDR3_DQS_P[3],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,,
HPS_DDR3_DQS_P[2],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,,
HPS_DDR3_DQS_P[1],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,,
HPS_DDR3_DQS_P[0],Bidir,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,,
HPS_DDR3_ODT,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_RAS_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_RESET_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_RZQ,Input,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_WE_N,Output,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_ENET_GTX_CLK,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_INT_N,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_MDC,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_MDIO,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DV,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_EN,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_GSENSOR_INT,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C0_SCLK,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C0_SDAT,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_KEY,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_LED,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_LTC_GPIO,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_CLK,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_CMD,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[3],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[2],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[1],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[0],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_CLK,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_MISO,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_MOSI,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_SS,Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_UART_RX,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_UART_TX,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_CLKOUT,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[7],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[6],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[5],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[4],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[3],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[2],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[1],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[0],Bidir,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DIR,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_NXT,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_STP,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,,
KEY[1],Input,PIN_AH16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
KEY[0],Input,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LASER_ON_N,Output,PIN_AF22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[7],Output,PIN_AA23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[6],Output,PIN_Y16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[5],Output,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[4],Output,PIN_AF26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[3],Output,PIN_V15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[2],Output,PIN_V16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[1],Output,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
LED[0],Output,PIN_W15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
SW[3],Input,PIN_H5,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
SW[2],Input,PIN_H6,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
SW[1],Input,PIN_L9,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
SW[0],Input,PIN_L10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TAKT,Output,,,,,,,,,,,,,,,,,,
UART_LASER_RXD,Input,PIN_AA19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
UART_LASER_TXD,Output,PIN_AF25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
UART_SABER,Output,PIN_W8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
